title,mpaa_rating,budget,log_budget,opening_weekend,runtime,theaters,year
Soul Men,R,40000000,7.6,5401605,100,2044,2008
Role Models,R,28000000,7.45,19167085,99,2792,2008
Fool's Gold,PG-13,72500000,7.86,21589295,112,3125,2008
"Welcome Home, Roscoe Jenkins",PG-13,27500000,7.44,16207730,114,2387,2008
Speed Racer,PG,120000000,8.08,18561337,135,3606,2008
What Happens in Vegas,PG-13,35000000,7.54,20172474,99,3215,2008
Redbelt,R,7000000,6.85,63361,99,6,2008
Blonde Ambition,PG-13,10000000,7,1322,93,8,2008
The Duchess,PG-13,27000000,7.43,190426,110,7,2008
Body of Lies,R,67500000,7.83,12884416,128,2710,2008
City of Ember,PG,38000000,7.58,3129473,90,2022,2008
The Express,PG,37500000,7.57,4562675,130,2808,2008
Quarantine,R,12000000,7.08,14211321,89,2461,2008
Street Kings,R,20000000,7.3,12469631,109,2467,2008
Prom Night,PG-13,18000000,7.26,20804941,88,2700,2008
Pathology,R,8000000,6.9,54244,95,46,2008
The Bucket List,PG-13,45000000,7.65,335837,97,16,2008
Atonement,R,30000000,7.48,796836,123,32,2008
The Kite Runner,PG-13,20000000,7.3,471713,128,35,2008
In the Name of the King: A Dungeon Siege Tale,PG-13,60000000,7.78,2984524,127,1632,2008
The Pirates Who Don't Do Anything: A VeggieTales Movie,G,15000000,7.18,4251320,85,1337,2008
Harold,PG-13,12000000,7.08,14908404,90,2510,2008
Hellboy II: The Golden Army,PG-13,82500000,7.92,34539115,120,3204,2008
Meet Dave,PG,60000000,7.78,5251918,90,3011,2008
Journey to the Center of the Earth,PG,45000000,7.65,21018141,93,2811,2008
Outlander,R,50000000,7.7,59581,115,81,2008
The Day the Earth Stood Still,PG-13,80000000,7.9,30480153,104,3560,2008
Delgo,PG,40000000,7.6,511920,94,2160,2008
Righteous Kill,R,60000000,7.78,16288361,101,3152,2008
Burn After Reading,R,37000000,7.57,19128001,96,2651,2008
The Women,PG-13,16000000,7.2,10155121,114,2962,2008
Tropic Thunder,R,90000000,7.95,25812796,107,3319,2008
The Children of Huang Shi,R,20000000,7.3,42755,125,7,2008
The Incredible Hulk,PG-13,137500000,8.14,55414050,112,3505,2008
The Happening,R,60000000,7.78,30517109,91,2986,2008
The Spiderwick Chronicles,PG,92500000,7.97,19004058,96,3847,2008
Jumper,PG-13,82500000,7.92,27354808,88,3428,2008
Step Up 2: The Streets,PG-13,17500000,7.24,18908826,98,2470,2008
Horton Hears a Who!,G,85000000,7.93,45012998,86,3954,2008
Doomsday,R,33000000,7.52,4926565,105,1936,2008
Never Back Down,PG-13,21000000,7.32,8603195,110,2729,2008
Quantum of Solace,PG-13,230000000,8.36,67528882,106,3451,2008
Mirrors,R,35000000,7.54,11161074,110,2664,2008
Vicky Cristina Barcelona,PG-13,16000000,7.2,3755575,96,692,2008
Star Wars: The Clone Wars,PG,8500000,6.93,14611273,98,3452,2008
The Chronicles of Narnia: Prince Caspian,PG,225000000,8.35,55034805,150,3929,2008
Max Payne,PG-13,35000000,7.54,17639849,100,3376,2008
W.,PG-13,25100000,7.4,10505668,129,2030,2008
Passchendaele,R,20000000,7.3,653000,114,204,2008
Sex Drive,R,19000000,7.28,3607164,109,2421,2008
The Secret Life of Bees,PG-13,11000000,7.04,10527799,114,1591,2008
The Forbidden Kingdom,PG-13,55000000,7.74,21401121,104,3151,2008
Forgetting Sarah Marshall,R,30000000,7.48,17725330,111,2798,2008
88 Minutes,R,30000000,7.48,6957216,108,2168,2008
The Good Night,R,15000000,7.18,12377,93,2,2008
27 Dresses,PG-13,30000000,7.48,23007725,111,3057,2008
Cloverfield,PG-13,25000000,7.4,40058229,85,3411,2008
Mad Money,PG-13,22000000,7.34,7736452,104,2470,2008
The Dark Knight,PG-13,185000000,8.27,158411483,152,4366,2008
Mamma Mia!,PG-13,52000000,7.72,27751240,108,2976,2008
Space Chimps,G,37000000,7.57,7181374,81,2511,2008
The Tale of Despereaux,G,60000000,7.78,10103675,93,3104,2008
Seven Pounds,PG-13,54000000,7.73,14851136,123,2758,2008
Yes Man,PG-13,50000000,7.7,18262471,104,3434,2008
Igor,PG,22000000,7.34,7803347,87,2339,2008
Lakeview Terrace,PG-13,20000000,7.3,15004672,110,2464,2008
Ghost Town,PG-13,20000000,7.3,5012315,102,1505,2008
My Best Friend's Girl,R,20000000,7.3,8265357,101,2604,2008
The Rocker,PG-13,15000000,7.18,2636048,102,2784,2008
Get Smart,PG-13,80000000,7.9,38683480,110,3911,2008
The Love Guru,PG-13,62000000,7.79,13907130,87,3012,2008
Repo! The Genetic Opera,R,8500000,6.93,53684,98,8,2008
Drillbit Taylor,PG-13,40000000,7.6,10309986,110,3056,2008
Meet the Browns,PG-13,20000000,7.3,20082809,100,2006,2008
"Synecdoche, New York",R,20000000,7.3,172194,124,9,2008
Bolt,PG,150000000,8.18,26223128,96,3651,2008
Twilight,PG-13,37000000,7.57,69637740,122,3419,2008
Death Race,R,65000000,7.81,12621090,105,2532,2008
The House Bunny,PG-13,25000000,7.4,14533702,97,2714,2008
The Longshots,PG,23000000,7.36,4080687,94,2089,2008
Persepolis,PG-13,7300000,6.86,88826,96,7,2008
Vantage Point,PG-13,40000000,7.6,22874936,90,3149,2008
Be Kind Rewind,PG-13,20000000,7.3,4050655,102,808,2008
Charlie Bartlett,R,12000000,7.08,1836256,97,1122,2008
Witless Protection,PG-13,7500000,6.88,2116692,97,1333,2008
Indiana Jones and the Kingdom of the Crystal Skull,PG-13,185000000,8.27,100137835,122,4260,2008
Free Style,PG,10000000,7,97764,94,260,2008
Pride and Glory,R,30000000,7.48,6262396,130,2585,2008
High School Musical 3: Senior Year,G,11000000,7.04,42030184,112,3623,2008
Saw V,R,10800000,7.03,30053954,92,3060,2008
The Ten,R,5250000,6.72,121374,96,25,2008
Baby Mama,PG-13,30000000,7.48,17407110,99,2543,2008
Deception,R,25000000,7.4,2312146,107,2001,2008
